@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
209.9984237	,	0.299997748	,	52.46319484
209.9929106	,	-7.88E-06	,	52.74471514
209.9814445	,	-1.64E-05	,	52.7438059
209.9642591	,	-2.46E-05	,	52.74240652
209.942297	,	-3.14E-05	,	52.74058924
209.9139971	,	-4.04E-05	,	52.73824958
209.8794928	,	-4.93E-05	,	52.73537957
209.8401264	,	-5.62E-05	,	52.73207978
209.7958465	,	-6.33E-05	,	52.72836176
209.7469861	,	-6.98E-05	,	52.7242495
209.6917031	,	-7.90E-05	,	52.71961077
209.6302094	,	-8.78E-05	,	52.7144402
209.5643248	,	-9.41E-05	,	52.70887459
209.4939165	,	-0.000100583	,	52.70292486
209.4191168	,	-0.000106857	,	52.69659926
209.3381946	,	-0.000115603	,	52.68977144
209.2514369	,	-0.00012394	,	52.68244286
209.16036	,	-0.00013011	,	52.67472884
209.0647537	,	-0.00013658	,	52.66663105
208.9649381	,	-0.000142594	,	52.65817077
208.8596665	,	-0.000150388	,	52.64925947
208.7492966	,	-0.000157671	,	52.63990946
208.6342998	,	-0.000164281	,	52.63015962
208.5143918	,	-0.000171297	,	52.61999428
208.3905304	,	-0.000176945	,	52.60948104
208.261769	,	-0.000183945	,	52.5985607
208.1280632	,	-0.000191008	,	52.58721929
207.9907686	,	-0.000196135	,	52.57555661
207.8503332	,	-0.000200622	,	52.56362107
207.7038905	,	-0.000209204	,	52.55120556
207.551063	,	-0.000218325	,	52.53824988
207.394441	,	-0.000223746	,	52.52494156
207.2356847	,	-0.000226795	,	52.51143265
207.0753053	,	-0.000229114	,	52.49777961
206.907792	,	-0.000239305	,	52.48357986
206.732702	,	-0.000250129	,	52.46873896
206.5575834	,	-0.000250169	,	52.45381146
206.3779606	,	-0.000256604	,	52.43854969
206.1902621	,	-0.000268141	,	52.42263897
206.0033341	,	-0.00026704	,	52.40669573
205.8177672	,	-0.000265096	,	52.39086201
205.6226087	,	-0.000278798	,	52.37433158
205.4173331	,	-0.000293251	,	52.35694417
205.208644	,	-0.000298127	,	52.33919166
205.0028757	,	-0.000293955	,	52.32161844
204.8006743	,	-0.000288859	,	52.30434231
204.5870323	,	-0.000305203	,	52.2862553
204.3613663	,	-0.00032238	,	52.26714921
204.1412588	,	-0.000314439	,	52.24832474
203.9170109	,	-0.000320354	,	52.22925311
203.6798295	,	-0.00033883	,	52.2091743
203.4493885	,	-0.000329201	,	52.1894562
203.2264038	,	-0.00031855	,	5.22E+01
202.9885704	,	-0.000339762	,	52.1502518
202.7352326	,	-0.000361911	,	52.128822
202.4788324	,	-0.000366286	,	5.21E+01
202.2319348	,	-0.000352711	,	52.08584621
201.9953051	,	-0.000338042	,	52.0655634
201.7413416	,	-0.000362805	,	5.20E+01
201.4693376	,	-0.000388577	,	52.02110233
201.194408	,	-0.000392757	,	51.997695
200.9319833	,	-0.000374892	,	5.20E+01
200.6828754	,	-0.000355868	,	51.95381165
200.4136997	,	-0.000384537	,	51.93107648
200.123701	,	-0.000414284	,	5.19E+01
